time,v_id,trip_utilisation
14598,192,0.6757201646090535
14599,206,0.06740187684087952
14601,134,0.04246284501061571
14613,314,0.4183564567769477
14620,239,0.189150401836969
14624,64,0.6015037593984962
14627,341,0.2635909491625037
14629,159,0.09982253771073647
14632,375,0.9054054054054054
14639,173,0.4205298013245033
14639,486,0.5950752393980848
14644,102,0.19507042253521126
14649,323,0.11434227592327122
14655,352,0.3863828349383342
14671,312,0.570954356846473
14674,445,0.06494480032710917
14680,145,0.054700272479564035
14682,132,0.6259445843828715
14685,441,0.5549510337323177
14687,210,0.5598086124401914
14688,248,0.735949098621421
14689,381,0.32369380315917373
14695,235,0.4718954248366013
14699,0,0.5961783439490446
14700,176,0.5210355987055016
14709,467,0.608541973490427
14713,30,0.7325335215243473
14713,349,0.8980414746543779
14715,274,0.4249456127628716
14720,489,0.6666666666666666
14727,416,0.7275666936135813
14733,478,0.3101391650099404
14733,469,0.7481678880746169
14734,321,0.2151318730442557
14736,193,0.5715705765407555
14738,191,0.205998100149274
14740,179,0.6818999640158331
14743,406,0.846875
14744,54,0.21247199402539207
14749,494,0.706746826987308
14755,243,0.6997885835095138
14757,390,0.555421686746988
14759,43,0.06297646668876367
14765,204,0.6630743051616562
14775,345,0.5206611570247934
14778,2,0.8427480916030534
14783,297,0.07319218020699451
14785,263,0.7677884615384616
14786,333,0.9111747851002865
14792,62,0.4038353073886069
14798,194,0.7584269662921348
14800,195,0.6483600305110603
14802,70,0.04089677260408968
14802,60,0.8497790868924889
14809,19,0.7692857142857142
14814,317,0.4327092900035323
14820,328,0.24207650273224043
14822,483,0.053366617190662526
14833,44,0.6079365079365079
14834,316,0.09372252505714788
14836,491,0.6842105263157895
14837,295,0.6965217391304348
14850,241,0.8305084745762712
14855,459,0.5819032761310452
14855,224,0.47096774193548385
14857,125,0.7117776152158011
14858,155,0.5827774408732566
14862,354,0.7632075471698113
14869,147,0.15088105726872247
14879,308,0.6636802205375603
14882,8,0.6819610307982401
14883,167,0.8105726872246696
14884,166,0.09385917764041925
14891,281,0.518348623853211
14892,472,0.5644283121597096
14897,275,0.1049204537826408
14899,256,0.7213010204081632
14901,373,0.7048503611971104
14906,496,0.8625646923519263
14914,108,0.2055393586005831
14914,55,0.07709469509172037
14917,468,0.033853992089562246
14917,380,0.5454545454545454
14919,434,0.5098039215686274
14927,365,0.6536091549295775
14928,301,0.17721518987341772
14932,362,0.8352803738317757
14937,96,0.5863192182410424
14940,61,0.6440298507462686
14941,369,0.0865403922093568
14943,480,0.5985449735449735
14945,458,0.6722901729228173
14949,495,0.6522556390977443
14951,116,0.7366809552969994
14957,63,0.24218481621435933
14971,257,0.839516129032258
14973,240,0.7598299681190224
14978,253,0.6116248348745046
14981,77,0.07636339363193378
14981,144,0.6881429344883595
14987,399,0.6294220665499124
14989,65,0.2662337662337662
14989,57,0.8856799037304453
15000,300,0.710445937690898
15009,431,0.5387682764731945
15009,104,0.6637963309621865
15023,91,0.7457142857142857
15025,5,0.5687563195146613
15031,58,0.11143636484598496
15041,137,0.599615938550168
15046,340,0.08578458785370764
15047,186,0.33795193764884174
15048,95,0.6873428331936295
15049,188,0.7253886010362695
15053,379,0.7031496062992126
15055,20,0.29694915254237286
15067,66,0.2344213649851632
