p_id,request_t,trip_d,trip_t,VoT,fare,prefer_EV
3750,23902,4638.884941378436,387,0.010525,7.66,True
3751,23902,7717.991385898141,858,0.008202777777777778,13.94,True
3752,23903,5117.17562477668,568,0.008705555555555555,10.07,True
3753,23904,5025.112662519186,566,0.009913888888888889,10.05,True
3754,23908,3891.81391226845,431,0.009327777777777777,8.25,True
3755,23912,14977.266359152232,1622,0.009422222222222222,24.13,True
3756,23921,11075.171945711683,905,0.009438888888888887,14.57,True
3757,23923,19651.785046399607,1877,0.00796388888888889,27.53,True
3758,23928,2325.40707824388,296,0.007327777777777778,6.45,True
3759,23930,27681.18209127516,2267,0.007847222222222222,32.73,True
3760,23938,3674.781930248307,345,0.00951388888888889,7.1,True
3761,23948,8745.446095379033,932,0.009188888888888889,14.93,True
3762,23949,8817.711416564462,853,0.009452777777777779,13.87,True
3763,23952,8417.129658752869,837,0.00975,13.66,True
3764,23954,35818.817415567166,2853,0.008602777777777777,40.54,True
3765,23962,11686.22598665855,1112,0.00977777777777778,17.33,True
3766,23965,5830.137838182772,515,0.008491666666666666,9.37,True
3767,23967,6064.334697809599,473,0.00985,8.81,True
3768,23968,5241.960631819521,386,0.008422222222222222,7.65,True
3769,23986,7533.693168950919,700,0.009447222222222221,11.83,True
3770,23991,5869.608663719799,674,0.008383333333333333,11.49,True
3771,24005,12865.933504454157,978,0.009294444444444445,15.54,True
3772,24010,14173.028117136237,1291,0.009341666666666667,19.71,True
3773,24012,6481.312530963043,574,0.008491666666666666,10.15,True
3774,24015,24240.49353197659,1429,0.009044444444444445,21.55,True
3775,24021,32866.33488697867,2422,0.009036111111111111,34.79,True
3776,24025,9069.141305397674,1017,0.009394444444444445,16.06,True
3777,24032,7443.665723122067,840,0.00878611111111111,13.7,True
3778,24037,10301.419073499306,1062,0.007855555555555557,16.66,True
3779,24039,5590.356518215496,596,0.009183333333333333,10.45,True
3780,24041,21107.714809277928,2040,0.009077777777777778,29.7,True
3781,24041,6819.280275314906,769,0.007597222222222222,12.75,True
3782,24043,8684.065410521463,973,0.008683333333333335,15.47,True
3783,24047,8793.513469759,707,0.009194444444444444,11.93,True
3784,24049,7194.216976559885,593,0.009677777777777778,10.41,True
3785,24050,9359.84465737822,818,0.008927777777777778,13.41,True
3786,24051,7833.852872233584,669,0.007383333333333333,11.42,True
3787,24060,2139.5081499592416,249,0.009747222222222223,5.82,True
3788,24062,6456.642772805469,559,0.00926388888888889,9.95,True
3789,24075,15527.533267290706,1031,0.009744444444444444,16.25,True
3790,24083,3358.0881247934976,324,0.007994444444444445,6.82,True
3791,24090,5731.090047040024,533,0.008083333333333333,9.61,True
3792,24093,9092.151256544696,821,0.008205555555555554,13.45,True
3793,24095,8522.457311349588,715,0.009672222222222223,12.03,True
3794,24096,7931.484331459344,700,0.010225000000000001,11.83,True
3795,24099,10397.744844835644,1158,0.009844444444444444,17.94,True
3796,24101,8126.282897841516,930,0.009722222222222222,14.9,True
3797,24105,18465.98665603736,1642,0.009108333333333333,24.39,True
3798,24115,9403.52565760006,1056,0.008783333333333334,16.58,True
3799,24118,6852.99354464528,746,0.009783333333333333,12.45,True
3800,24120,4043.6528545103856,390,0.009097222222222222,7.7,True
3801,24129,5638.953762683477,632,0.008708333333333334,10.93,True
3802,24130,3058.9316656413976,347,0.007905555555555556,7.13,True
3803,24137,8325.86782797982,933,0.008855555555555556,14.94,True
3804,24137,3047.836946824352,292,0.009444444444444445,6.39,True
3805,24140,5746.832638180026,656,0.009758333333333334,11.25,True
3806,24142,6662.108996676102,604,0.009522222222222222,10.55,True
3807,24143,34935.22240798998,2538,0.009455555555555556,36.34,True
3808,24146,10546.478433365228,891,0.009219444444444443,14.38,True
3809,24147,3388.4713167954537,373,0.009094444444444445,7.47,True
3810,24152,4657.209828272425,536,0.009097222222222222,9.65,True
3811,24153,7105.610849538095,670,0.008336111111111112,11.43,True
3812,24154,27598.398951985742,2069,0.008122222222222222,30.09,True
3813,24155,9194.01390043059,945,0.007169444444444444,15.1,True
3814,24161,5244.092482197097,453,0.008994444444444446,8.54,True
3815,24163,5344.684063969817,611,0.009808333333333334,10.65,True
3816,24164,5098.213386281764,568,0.009008333333333333,10.07,True
3817,24165,3135.037711374935,392,0.008866666666666667,7.73,True
3818,24169,6351.41841020948,551,0.009941666666666666,9.85,True
3819,24170,29389.124907385227,2260,0.008505555555555556,32.63,True
3820,24172,3565.903086703968,400,0.009425,7.83,True
3821,24180,1332.1823685762226,151,0.00841388888888889,4.51,True
3822,24182,4327.8390702333145,501,0.009691666666666666,9.18,True
3823,24183,10009.137198530672,1093,0.009711111111111111,17.07,True
3824,24187,9472.188695508048,893,0.010430555555555554,14.41,True
3825,24200,9846.153409481474,1140,0.00925,17.7,True
3826,24211,7208.4614724249295,740,0.007608333333333333,12.37,True
3827,24216,5960.772790274699,662,0.009652777777777777,11.33,True
3828,24236,11915.016826433202,1088,0.009394444444444445,17.01,True
3829,24239,3260.59814045427,257,0.0085,5.93,True
3830,24248,7152.877845784545,694,0.010027777777777778,11.75,True
3831,24253,4558.985792687817,412,0.010319444444444444,7.99,True
3832,24260,22392.67825505937,1231,0.008775,18.91,True
3833,24263,7407.310372707646,663,0.008247222222222222,11.34,True
3834,24265,18106.71891333604,1927,0.009363888888888889,28.19,True
3835,24268,13750.312597206464,1292,0.009019444444444445,19.73,True
3836,24270,6164.3628506494615,508,0.008377777777777777,9.27,True
3837,24271,5864.27349881594,550,0.009550000000000001,9.83,True
3838,24275,10165.294985182432,946,0.0074777777777777785,15.11,True
3839,24280,11004.866239750214,927,0.008577777777777778,14.86,True
3840,24283,7577.988387061342,687,0.009544444444444444,11.66,True
3841,24292,1251.0030031782317,138,0.010183333333333332,4.34,True
3842,24296,24188.9504943254,1810,0.009311111111111112,26.63,True
3843,24298,5869.144300355601,447,0.008983333333333334,8.46,True
3844,24298,7734.318182988001,855,0.008444444444444444,13.9,True
3845,24301,5593.233576288464,524,0.009094444444444445,9.49,True
3846,24302,3918.376112917972,423,0.01032222222222222,8.14,True
3847,24302,13204.554017797016,991,0.009655555555555554,15.71,True
3848,24307,25967.41881474281,1972,0.009936111111111113,28.79,True
3849,24312,4515.032438202485,472,0.010016666666666667,8.79,True
