,cs,tt
42445804,42432444,292
42452973,42432444,308
42453999,42432444,230
6166412783,42432444,380
6166412784,42432444,382
42426865,42432444,756
42459636,42432444,300
42454006,42432444,301
42456568,42432444,367
42454010,42432444,316
42444928,42434271,190
6279091713,42434271,230
42437890,42434271,188
42437909,42434271,131
42443671,42434271,339
42428183,42434271,471
42439834,42434271,183
42443674,42434271,185
42439836,42434271,128
42427423,42434271,376
42428192,42434271,373
42427426,42434271,220
42427427,42434271,319
42428198,42434271,404
42435624,42434271,233
42428201,42434271,417
42445867,42434271,460
42435629,42434271,292
42435632,42434271,376
42435633,42434271,434
42445879,42434271,633
42430265,42434271,227
42430269,42434271,319
42430271,42434271,288
42430274,42434271,347
4597668040,42434271,480
42427477,42434271,162
42434268,42434271,368
42429661,42434271,265
4205565533,42434271,250
42434270,42434271,157
42434271,42434271,0
42436575,42434271,596
42434279,42434271,101
42427369,42434271,420
42434810,42434271,462
42427371,42434271,254
42439275,42434271,238
42454378,42434271,393
42427374,42434271,210
42437881,42434271,400
42427386,42434271,158
246580736,42444916,331
42427393,42444916,322
42430594,42444916,368
42445314,42444916,474
42434821,42444916,387
42430597,42444916,397
42430600,42444916,426
4899886584,42444916,504
4872623863,42444916,225
42434827,42444916,554
246579597,42444916,344
246650510,42444916,529
42430607,42444916,513
42438674,42444916,359
246580758,42444916,311
42437914,42444916,210
42435610,42444916,101
42443676,42444916,209
42443677,42444916,300
42438684,42444916,533
247081122,42444916,611
5849918502,42444916,155
246579753,42444916,323
373903786,42444916,247
42437678,42444916,619
42427828,42444916,511
358447541,42444916,236
246580797,42444916,397
42449345,42444916,273
42437699,42444916,611
42445310,42444916,299
42453630,42444916,328
4899886546,42444916,441
42446678,42444916,642
42427483,42444916,241
246580444,42444916,358
42429662,42444916,129
42429663,42444916,230
42429664,42444916,178
42429666,42444916,240
42448996,42444916,778
42427494,42444916,403
42454381,42444916,151
42444909,42444916,284
4557517550,42444916,360
42439280,42444916,305
4557517552,42444916,382
42434285,42444916,180
42422258,42444916,339
42444916,42444916,0
387180916,42444916,364
42439286,42444916,205
42427381,42444916,183
246580982,42444916,286
246580466,42444916,341
246580346,42444916,267
42430589,42444916,307
42427390,42444916,124
42439295,42444916,260
42423296,1773063789,878
1773060097,1773063789,166
42433537,1773063789,217
1773060099,1773063789,192
42433539,1773063789,256
42437124,1773063789,295
42433542,1773063789,275
42433543,1773063789,305
42433545,1773063789,322
42433550,1773063789,438
42433551,1773063789,485
42444305,1773063789,307
42433553,1773063789,541
42433554,1773063789,554
42433555,1773063789,600
1773076509,1773063789,326
1773076511,1773063789,240
1773076513,1773063789,224
4158807592,1773063789,208
1773067304,1773063789,163
42443832,1773063789,282
42430030,1773063789,264
42440785,1773063789,384
42432085,1773063789,228
42452056,1773063789,186
42440792,1773063789,351
5161246301,1773063789,75
42440798,1773063789,315
5161246307,1773063789,56
42440804,1773063789,88
42425955,1773063789,198
42452067,1773063789,189
592405093,1773063789,630
1773063787,1773063789,195
1773063789,1773063789,0
42432111,1773063789,342
592405108,1773063789,619
42437749,1773063789,287
42437753,1773063789,297
42439813,1773063789,247
4477147270,1773063789,112
4477147269,1773063789,169
42452117,1773063789,670
