from_node,to_node,road_id,from_node_lon,from_node_lat,to_node_lon,to_node_lat,distance,duration
371337239,2140997998,7620,-73.9345631,40.8280397,-73.9348171,40.8280426,21.52365863,6
371337239,2140994070,7621,-73.9345631,40.8280397,-73.9348681,40.8281459,28.4679992,8
371337241,2140994070,7622,-73.9351294,40.8282617,-73.9348681,40.8281459,25.51625494,6
371337241,42434935,7623,-73.9351294,40.8282617,-73.9349762,40.8280057,34.50179829,19
371337241,42439802,7624,-73.9351294,40.8282617,-73.9395901,40.8301428,430.3307826,97
371337250,589927903,7625,-73.934936,40.8300525,-73.9351758,40.8321928,238.8295307,40
371337250,5333189426,7626,-73.934936,40.8300525,-73.93585,40.8309866,137.2328802,47
371337269,60925389,7627,-73.9334951,40.8382331,-73.9332151,40.8387843,65.6707347,11
373772209,5333189427,7628,-73.9361454,40.8307831,-73.9360376,40.8307352,10.53389564,4
373772209,42424576,7629,-73.9361454,40.8307831,-73.9362839,40.8304897,35.1138316,10
373778409,42426665,7630,-73.9349789,40.8363293,-73.9370767,40.8341389,302.2360564,100
373778409,42426810,7631,-73.9349789,40.8363293,-73.9354595,40.8349981,153.5375084,51
373780963,595484175,7632,-73.9305458,40.8454272,-73.9315473,40.8462851,134.9134637,48
373780963,60918586,7633,-73.9305458,40.8454272,-73.9313751,40.8463765,136.5632063,49
373850916,589927991,7634,-73.9354432,40.8102102,-73.9359688,40.8095418,86.52052894,23
373880031,42453395,7635,-74.0139365,40.7137964,-74.0136838,40.7137015,23.77451344,9
373880031,42446849,7636,-74.0139365,40.7137964,-74.0159377,40.715103,259.9836644,97
373880031,246858433,7637,-74.0139365,40.7137964,-74.0146457,40.7111302,302.5088134,85
373903786,42429666,7638,-74.0083061,40.7454546,-74.008126,40.7453774,17.44211272,7
373903786,246580346,7639,-74.0083061,40.7454546,-74.0084362,40.7447675,77.17756194,21
374451674,42425959,7640,-73.9315115,40.8690931,-73.9318334,40.8692662,33.27026167,20
374451674,374463910,7642,-73.9315115,40.8690931,-73.9311553,40.8687924,44.94005758,27
374463910,42431666,7644,-73.9311553,40.8687924,-73.9300052,40.8678058,146.4021837,39
374463910,374451674,7645,-73.9311553,40.8687924,-73.9315115,40.8690931,44.94005758,27
374482644,42441000,7646,-73.9333479,40.8642126,-73.9304693,40.866438,442.519884,109
374494595,42454893,7647,-73.931822,40.863864,-73.9318018,40.8635192,39.42024748,25
374494595,42434780,7648,-73.931822,40.863864,-73.9314679,40.8639056,33.24058973,21
387180916,42436439,7649,-74.0048213,40.7416415,-74.0051265,40.7408505,92.86593206,36
387180916,4557517550,7650,-74.0048213,40.7416415,-74.0049194,40.7416809,9.359178529,4
387184869,42451018,7651,-73.9789954,40.7361899,-73.9748707,40.7342008,473.3797862,199
387184869,42448707,7652,-73.9789954,40.7361899,-73.9785141,40.7368726,86.06713606,34
390519635,42439170,7653,-73.9840861,40.7375427,-73.9845088,40.7369623,73.71460455,28
390519635,42437530,7654,-73.9840861,40.7375427,-73.9849697,40.737913,85.11518585,31
390519635,42440326,7655,-73.9840861,40.7375427,-73.983638,40.7381579,78.13669348,30
402475097,42445769,7656,-74.0086875,40.7423524,-74.0085372,40.7431693,91.7115113,24
402475097,4133206254,7657,-74.0086875,40.7423524,-74.0085428,40.7422986,13.61674601,6
402480678,246649427,7658,-74.0088706,40.7424626,-74.0101186,40.7385169,455.5143626,127
402480678,402475097,7659,-74.0088706,40.7424626,-74.0086875,40.7423524,20.03189301,9
406006393,42436719,7660,-73.9582084,40.7593476,-73.9618459,40.7552312,552.9227536,93
406048768,589099734,7661,-73.9716337,40.7438673,-73.9713051,40.7443489,60.28588307,14
406048768,42445392,7662,-73.9716337,40.7438673,-73.9720779,40.7431846,84.63749538,32
406048768,42434974,7663,-73.9716337,40.7438673,-73.973024,40.7444495,133.9003475,61
427804196,427804211,7664,-73.9978758,40.7581825,-73.9983378,40.7583716,44.2627765,26
427804196,593926788,7665,-73.9978758,40.7581825,-73.9981255,40.7583806,30.4674218,10
427804211,593839894,7666,-73.9983378,40.7583716,-73.9996997,40.7589299,130.5250522,77
427840965,593926788,7667,-73.9949618,40.7562826,-73.9981255,40.7583806,374.9747133,76
427840965,427841023,7668,-73.9949618,40.7562826,-73.9951328,40.7566317,42.19253262,9
427840984,3480679963,7669,-73.9978958,40.7545383,-73.9952844,40.7558245,271.2553831,49
427840998,427840984,7670,-73.9993843,40.7522084,-73.9978958,40.7545383,288.6467598,97
427840998,427841062,7671,-73.9993843,40.7522084,-73.9994662,40.7522409,7.793242378,3
427841011,427841023,7672,-73.996758,40.757565,-73.9951328,40.7566317,173.6165687,34
427841011,3275488116,7674,-73.996758,40.757565,-73.9999574,40.7588352,307.849792,53
427841011,593988920,7675,-73.996758,40.757565,-73.995157,40.7572045,155.1339309,54
427841023,427841034,7676,-73.9951328,40.7566317,-73.9953727,40.7559056,89.84759333,18
427841023,427841011,7677,-73.9951328,40.7566317,-73.996758,40.757565,173.6165687,34
427841034,427841050,7678,-73.9953727,40.7559056,-73.9980324,40.7545384,272.9991324,50
427841034,42434429,7679,-73.9953727,40.7559056,-73.9966605,40.7552114,135.3245921,45
427841050,427841053,7680,-73.9980324,40.7545384,-73.9983187,40.7542819,37.45288829,8
427841050,427845234,7681,-73.9980324,40.7545384,-73.9986974,40.7535262,128.7985665,44
